file,electrode,amp_emo,amp_neutral,chunks_emo,chunks_neutral
record-FET-Z-[2017.12.20-08.58.00],P7,19.8969706393,18.8354330522,97,118
record-FET-Z-[2017.12.20-08.58.00],P8,18.8887884185,18.0534286539,99,124
record-FGT-Z-[2017.12.20-08.38.23],P7,17.613433314,17.4794433328,117,119
record-FGT-Z-[2017.12.20-08.38.23],P8,19.1087516712,18.2735063302,120,120
record-FET-M-[2018.01.04-15.44.19],P7,7.24742202593,6.9058974902,30,41
record-FET-M-[2018.01.04-15.44.19],P8,7.41250620277,5.58527687021,33,44
record-FET-Z-[2018.01.04-15.24.19],P7,8.50590724934,8.25389755126,45,33
record-FET-Z-[2018.01.04-15.24.19],P8,7.50235924176,6.34553305914,42,39
record-FGT-M-[2018.01.04-15.35.26],P7,7.63604408705,6.76627687792,41,40
record-FGT-M-[2018.01.04-15.35.26],P8,5.5472917576,6.43524114686,43,51
record-FET-M-[2018.01.05-08.29.31],P7,11.0487696787,10.8546579231,69,75
record-FET-M-[2018.01.05-08.29.31],P8,11.4650559397,10.1549135162,99,98
record-FGT-M-[2018.01.05-08.11.40],P7,9.8525345726,9.73015687194,81,87
record-FGT-M-[2018.01.05-08.11.40],P8,6.83319583186,10.0267240087,101,100
record-FET-Z-[2018.01.05-09.13.07],P7,9.15774913381,8.20925936206,59,80
record-FET-Z-[2018.01.05-09.13.07],P8,6.00790381757,7.40798968507,73,100
record-FGT-M-[2018.01.05-08.56.22],P7,7.02875645705,6.35866355746,72,71
record-FGT-M-[2018.01.05-08.56.22],P8,6.6392546314,6.06077710817,80,93
record-FET-M-[2018.01.10-15.37.03],P7,20.2459258532,20.2986770986,37,45
record-FET-M-[2018.01.10-15.37.03],P8,21.4756065841,18.3693044827,88,87
record-FGT-Z-[2018.01.10-15.20.16],P7,13.8878961469,14.0506612063,39,48
record-FGT-Z-[2018.01.10-15.20.16],P8,16.6495720768,18.2464076469,107,102
record-FET-Z-[2017.12.26-21.49.57],P7,4.74468405132,7.4785632888,37,38
record-FET-Z-[2017.12.26-21.49.57],P8,9.48308167929,9.1694172358,37,39
record-FGT-M-[2017.12.26-21.31.33],P7,5.68057877076,5.89619154299,33,38
record-FGT-M-[2017.12.26-21.31.33],P8,6.64011354487,6.45768720151,35,47
record-FET-M-[2018.01.16-23.22.41],P7,15.1550532121,13.3137520751,78,86
record-FET-M-[2018.01.16-23.22.41],P8,12.2280611048,11.9830555021,61,68
record-FGT-M-[2018.01.16-23.07.35],P7,12.2637518117,10.9928662085,89,102
record-FGT-M-[2018.01.16-23.07.35],P8,13.7822911826,12.9184709914,68,67
