file,electrode,amp_emo,amp_neutral,chunks_emo,chunks_neutral
record-FET-Z-[2017.12.20-08.58.00],P7,13.4977262372,12.2089104045,76,102
record-FET-Z-[2017.12.20-08.58.00],P8,16.0732599419,15.4295666804,71,90
record-FGT-Z-[2017.12.20-08.38.23],P7,10.7888641723,12.8907192091,104,107
record-FGT-Z-[2017.12.20-08.38.23],P8,15.0148932796,15.1340590831,96,100
record-FET-M-[2018.01.04-15.44.19],P7,7.17694890824,5.54276950999,26,41
record-FET-M-[2018.01.04-15.44.19],P8,8.68800572582,7.26393432357,29,32
record-FET-Z-[2018.01.04-15.24.19],P7,4.5195881696,8.05633516863,40,32
record-FET-Z-[2018.01.04-15.24.19],P8,6.83739847659,6.91470022787,33,36
record-FGT-M-[2018.01.04-15.35.26],P7,8.02326784962,8.7747267688,35,38
record-FGT-M-[2018.01.04-15.35.26],P8,6.7888132764,7.53866024792,30,47
record-FET-M-[2018.01.05-08.29.31],P7,6.60783903538,7.32276126904,62,68
record-FET-M-[2018.01.05-08.29.31],P8,8.12399150379,10.5608165232,76,77
record-FGT-M-[2018.01.05-08.11.40],P7,7.75294060983,8.36070958482,83,88
record-FGT-M-[2018.01.05-08.11.40],P8,9.22495535317,8.46322467063,86,82
record-FET-Z-[2018.01.05-09.13.07],P7,7.80179095061,8.34554283271,54,72
record-FET-Z-[2018.01.05-09.13.07],P8,8.0860935234,8.66130200956,63,90
record-FGT-M-[2018.01.05-08.56.22],P7,5.77672774397,7.28701996708,64,65
record-FGT-M-[2018.01.05-08.56.22],P8,6.28059606507,8.56262420512,70,69
record-FET-M-[2018.01.10-15.37.03],P7,14.3075798116,14.5052888893,47,57
record-FET-M-[2018.01.10-15.37.03],P8,22.2332155421,17.1641563081,74,71
record-FGT-Z-[2018.01.10-15.20.16],P7,9.33860607561,9.85790265893,56,57
record-FGT-Z-[2018.01.10-15.20.16],P8,17.784474952,18.388354594,91,81
record-FET-Z-[2017.12.26-21.49.57],P7,6.64316937357,7.12094652358,27,32
record-FET-Z-[2017.12.26-21.49.57],P8,10.2821030836,12.3255659245,28,34
record-FGT-M-[2017.12.26-21.31.33],P7,8.68052543278,7.05701354121,28,28
record-FGT-M-[2017.12.26-21.31.33],P8,9.53784848119,6.59599164683,31,34
record-FET-M-[2018.01.16-23.22.41],P7,10.6327414308,11.5681621158,57,60
record-FET-M-[2018.01.16-23.22.41],P8,14.9102805052,15.9465788531,38,42
record-FGT-M-[2018.01.16-23.07.35],P7,9.24558272927,10.0433941637,80,82
record-FGT-M-[2018.01.16-23.07.35],P8,13.3789250551,16.7163270305,57,51
